fincampo,C's [40dB],C's [Celeste Tel],C's [CIS],C's [DYM],C's [GAD3],C's [GESOP],C's [IMOP Insights],C's [Invymark],C's [Ipsos],C's [Metroscopia],C's [NC Report],C's [Sigma Dos],C's [Simple Lógica],C's [Sociométrica],Más País [40dB],Más País [Celeste Tel],Más País [CIS],Más País [DYM],Más País [GAD3],Más País [GESOP],Más País [IMOP Insights],Más País [Invymark],Más País [Ipsos],Más País [Metroscopia],Más País [NC Report],Más País [Sigma Dos],Más País [Simple Lógica],Más País [Sociométrica],PP [40dB],PP [Celeste Tel],PP [CIS],PP [DYM],PP [GAD3],PP [GESOP],PP [IMOP Insights],PP [Invymark],PP [Ipsos],PP [Metroscopia],PP [NC Report],PP [Sigma Dos],PP [Simple Lógica],PP [Sociométrica],PSOE [40dB],PSOE [Celeste Tel],PSOE [CIS],PSOE [DYM],PSOE [GAD3],PSOE [GESOP],PSOE [IMOP Insights],PSOE [Invymark],PSOE [Ipsos],PSOE [Metroscopia],PSOE [NC Report],PSOE [Sigma Dos],PSOE [Simple Lógica],PSOE [Sociométrica],UP [40dB],UP [Celeste Tel],UP [CIS],UP [DYM],UP [GAD3],UP [GESOP],UP [IMOP Insights],UP [Invymark],UP [Ipsos],UP [Metroscopia],UP [NC Report],UP [Sigma Dos],UP [Simple Lógica],UP [Sociométrica],Vox [40dB],Vox [Celeste Tel],Vox [CIS],Vox [DYM],Vox [GAD3],Vox [GESOP],Vox [IMOP Insights],Vox [Invymark],Vox [Ipsos],Vox [Metroscopia],Vox [NC Report],Vox [Sigma Dos],Vox [Simple Lógica],Vox [Sociométrica],fincampo_match,C's (media),Más País (media),PP (media),PSOE (media),UP (media),Vox (media),PSOE (28-A),PP (28-A),C's (28-A),UP (28-A),Vox (28-A)
2019-02-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-02-02,17.726121725370323,null,21.58164007525828,24.914894294769482,15.04858479003381,10.433412456359633,null,null,null,null,null
2019-02-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-02-01,18.022546078272214,null,21.64330586399865,24.80002056963602,14.951643214372123,10.371463527184646,null,null,null,null,null
2019-01-31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-31,18.300725880728937,null,21.694396462879677,24.69336998709086,14.86317887984544,10.314881690824018,null,null,null,null,null
2019-01-29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-29,18.540550507051456,null,21.729925200243265,24.598100478277953,14.795086057033414,10.264266155776415,null,null,null,null,null
2019-01-28,null,null,null,null,null,null,null,20.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.3,null,null,null,null,null,null,null,null,null,null,null,null,null,23.9,null,null,null,null,null,null,null,null,null,null,null,null,null,13.5,null,null,null,null,null,null,null,null,null,null,null,null,null,11.2,null,null,null,null,null,null,2019-01-28,18.721909331548343,null,21.744905404430874,24.51736997434219,14.759259016516499,10.220216130541004,null,null,null,null,null
2019-01-27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-27,18.83915100879959,null,21.737135928442516,24.45215210468542,14.758701491806779,10.184122770903803,null,null,null,null,null
2019-01-26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-26,18.95915624570302,null,21.720604126291093,24.39243094816489,14.75231514308865,10.158510081403456,null,null,null,null,null
2019-01-25,null,null,null,null,null,null,null,null,null,null,18.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,null,null,24.2,null,null,null,null,null,null,null,null,null,null,null,null,null,16.6,null,null,null,null,null,null,null,null,null,null,null,null,null,9.4,null,null,null,2019-01-25,18.95915624570302,null,21.720604126291093,24.39243094816489,14.75231514308865,10.158510081403456,null,null,null,null,null
2019-01-24,null,null,null,null,17.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23,null,null,null,null,null,null,null,null,null,null,null,null,null,26.5,null,null,null,null,null,null,null,null,null,null,null,null,null,11.6,null,null,null,null,null,null,null,null,null,null,null,null,null,9.8,null,null,null,null,null,null,null,null,null,2019-01-24,19.0690329322318,null,21.697440594353967,24.34019010570199,14.748836613286056,10.137032238119987,null,null,null,null,null
2019-01-23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-23,19.144152700041744,null,21.66734776286922,24.299266744812012,14.764032728874115,10.113112526969497,null,null,null,null,null
2019-01-22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-22,19.205219754048926,null,21.633201896539205,24.26722549163578,14.783635042141594,10.091023583143588,null,null,null,null,null
2019-01-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-20,19.258244401658153,null,21.594518181662146,24.242956104565874,14.804048295862911,10.072615934283588,null,null,null,null,null
2019-01-19,null,null,null,null,null,null,null,23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.5,null,null,null,null,null,null,null,null,null,null,null,null,null,23.2,null,null,null,null,null,null,null,null,null,null,null,null,null,14.4,null,null,null,null,null,null,null,null,null,null,null,null,null,8.9,null,null,null,null,null,null,2019-01-19,19.300560455702122,null,21.54980465745078,24.22642755199227,14.82758656869718,10.057851152206423,null,null,null,null,null
2019-01-18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-18,19.32950172901387,null,21.49756936311748,24.217608802304795,14.856563939303712,10.046690808728888,null,null,null,null,null
2019-01-17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-17,19.342402034426065,null,21.436320337875163,24.216468823893436,14.893294486341526,10.03909647566794,null,null,null,null,null
2019-01-15,null,null,null,null,null,null,null,null,null,17.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.1,null,null,null,null,null,null,null,null,null,null,null,null,null,23.7,null,null,null,null,null,null,null,null,null,null,null,null,null,17.1,null,null,null,null,null,null,null,null,null,null,null,null,null,12.1,null,null,null,null,2019-01-15,19.33659518477157,null,21.364565620936087,24.222976585148096,14.940092288470003,10.035029724840415,null,null,null,null,null
2019-01-14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-14,19.309773149118744,null,21.281011751415225,24.23709971637909,14.998945601148998,10.03445925350482,null,null,null,null,null
2019-01-13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-13,19.263627416988243,null,21.18657749197723,24.258814753204284,15.068257900956947,10.037430552049138,null,null,null,null,null
2019-01-11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-11,19.199977531589525,null,21.08224460623238,24.288140761319195,15.146412980440651,10.043986651170277,null,null,null,null,null
2019-01-10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-10,19.120193850234973,null,20.968745175119434,24.325102432911667,15.232212154614304,10.054161185421677,null,null,null,null,null
2019-01-09,null,null,null,null,null,null,null,null,null,null,null,null,17.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18.2,null,null,null,null,null,null,null,null,null,null,null,null,null,25.1,null,null,null,null,null,null,null,null,null,null,null,null,null,14,null,null,null,null,null,null,null,null,null,null,null,null,null,11.5,null,2019-01-09,19.025646730237156,null,20.84681127957725,24.369724460169447,15.324456738492005,10.067987789356735,null,null,null,null,null
2019-01-08,null,19.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23.8,null,null,null,null,null,null,null,null,null,null,null,null,null,24.1,null,null,null,null,null,null,null,null,null,null,null,null,null,16.1,null,null,null,null,null,null,null,null,null,null,null,null,null,8.1,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-08,18.917706528907832,null,20.717175000543637,24.42203153528068,15.421948047088652,10.085500097528973,null,null,null,null,null
